Clinique_Article,BaseCahpp_Article,cip_match,ucd_match,idt_match,Clinique_IDT,Clinique_CIP,Clinique_UCD,CAHPP_IDT,CAHPP_CIP,CAHPP_CIP13,CAHPP_UCD,CAHPP_UCD13
6058nebcine 75 mg15 ml sol inj amp,"NEBCINE  75 MG 1,5 ML BOITE DE 1 FLACON",1,1,1,81879,3400931648604,3400890613392,81879,3164860,3400931648604,9061339,3400890613392
0000750insulatard 100 iuml susp inj stylo 3 ml flexpen,INSULATARD FLEX PEN 100 UI/ML 3 ML BOITE DE 5 SERINGUES,1,1,1,83369,3400936120921,3400892463520,83369,3612092,3400936120921,9246352,3400892463520
0000418lantus 100 uml sol inj stylo 3 ml solostar,LANTUS SOLOSTAR  100 UI/ML  3 ML SOLUTION INJECTABLE BOITE DE 5 STYLOS PREREMPLIS JETABLES,1,1,1,84337,3400937722988,3400892925998,84337,3772298,3400937722988,9292599,3400892925998
3045clomipramine 75 mg sandoz cpr séc,CLOMIPRAMINE SANDOZ   75 MG  BOITE DE 20 COMPRIMES,1,1,1,90293,3400936806917,3400892688565,90293,3680691,3400936806917,9268856,3400892688565
11 955neisvac susp inj srg 05 ml,NEISVAC VACCIN MENINGOCOCCIQUE 0.5 ML BOITE DE 1 SERINGUE PREREMPLIE,1,1,1,109945,3400936277397,3400892571089,109945,3627739,3400936277397,9257108,3400892571089
7743vesicare 5 mg cpr,VESICARE   5 MG  BOITE DE 30 COMPRIMES,1,1,1,110409,3400936551503,3400892634517,110409,3655150,3400936551503,9263451,3400892634517
21987omeprazole 20 mg eg gélule gastrorésistante,OMEPRAZOLE EG 20 MG BOITE DE 28 GELULES GASTRO RESISTANTES,1,1,1,110425,3400949766666,3400893704486,110425,4976666,3400949766666,9370448,3400893704486
1741micropakine lp 100 mg granulés à libération prolongée sachet,MICROPAKINE LP 100 MG BOITE DE 30 SACHETS,1,1,1,110885,3400936551152,3400892629483,110885,3655115,3400936551152,9262948,3400892629483
1742micropakine lp 500 mg granulés à libération prolongée sachet,MICROPAKINE LP 500 MG BOITE DE 30 SACHETS,1,1,1,110887,3400936551381,3400892629773,110887,3655138,3400936551381,9262977,3400892629773
4919stalevo 50 mg125 mg200 mg cpr,"STALEVO  50 MG /12,5MG/200 MG BOITE DE 100 COMPRIMES",1,1,1,111285,3400936345386,3400892598116,111285,3634538,3400936345386,9259811,3400892598116
13894retrovir 100 mg10 ml sol buv flac 200 ml  srg 1 ml,RETROVIR NEONAT  100 MG / 10 ML  200 ML  SOLUTION BUVABLE  BOITE DE  1 FLACON,1,1,1,111295,3400936341593,3400892619088,111295,3634159,3400936341593,9261908,3400892619088
8994prograf 5 mg gélule,PROGRAF 5 MG BOITE DE   50 GELULES CONDITIONNEMENT UNITAIRE,1,1,1,120454,3400935875723,3400891800388,120454,3587572,3400935875723,9180038,3400891800388
650arixtra 75 mg06 ml sol inj srg,"ARIXTRA  7.5 MG/0,6 ML  BOITE DE 10 SERINGUES",0,1,1,128523,3400936565050,3400892807805,128523,3656528,3400936565289,9280780,3400892807805
8598forlax 4 g pdr pr sol buv sachet,FORLAX 4 G PEDIATRIQUE BOITE 20 SACHETS,1,1,1,129027,3400936052123,3400892486123,129027,3605212,3400936052123,9248612,3400892486123
6215pentasa 2 g granulés sachet,PENTASA 2 GR GRANULES BOITE DE 60 SACHETS,1,1,1,129083,3400936758797,3400892696379,129083,3675879,3400936758797,9269637,3400892696379
4727aclasta 5 mg100 ml sol pr perf flac,ACLASTA 5 MG POUDRE POUR PERFUSION BOITE DE 1 FLACON,1,1,1,134906,3400936587113,3400892791791,134906,3658711,3400936587113,9279179,3400892791791
0000927isoptine 120 mg gélule,ISOPTINE 120MG BOITE DE 90 GELULES CONDITIONNEMENT UNITAIRE,0,1,1,136744,3400931323860,3400890476935,136744,3714042,3400937140423,9047693,3400890476935
13235colimycine 1 m_iu pdr et solv pr inhal par nébu flac  amp,COLISTIMETHATE SODIQUE AMDIPHARM 1M UI POUDRE ET SOLVANT POUR INHALATION BOITE DE 1 FLACON,1,1,1,137143,3400936505896,3400892942858,137143,3650589,3400936505896,9294285,3400892942858
6881nebcine 100 mg2 ml sol inj amp,NEBCINE 100 MG 2 ML BOITE DE 1 FLACON,1,1,1,141123,3400931648772,3400892673837,141123,3164877,3400931648772,9267383,3400892673837
23434buprenorphine 2 mg mylan cpr sublingual,BUPRENORPHINE MYLAN 2 MG BOITE DE 7 COMPRIMES CONDITIONNEMENT UNITAIRE,1,1,1,149078,3400937464215,3400892901527,149078,3746421,3400937464215,9290152,3400892901527
6452versatis 700 mg emplâtre médicamenteux,VERSATIS 700 MG BOITE DE 30 COMPRESSES IMPREGNEES,1,1,1,152097,3400938285673,3400892981079,152097,3828567,3400938285673,9298107,3400892981079
1773xagrid 05 mg gélule,"XAGRID 0,5 MG BOITE DE 100 GELULES",1,1,1,152187,3400936517905,3400892394350,152187,3651790,3400936517905,9239435,3400892394350
19485methadone chlorhydrate 60 mg aphp sirop récipient unidose 15 ml,CHLORHYDRATE DE METHADONE 60 MG 15 ML BOITE DE 70 FLACONS,1,1,1,164044,3400934004216,3400891784619,164044,3400421,3400934004216,9178461,3400891784619
5363cefixime 200 mg eg cpr,CEFIXIME EG 200 MG BOITE DE 8 COMPRIMES  PELLICULES,1,1,1,177207,3400938818925,3400893231531,177207,3881892,3400938818925,9323153,3400893231531
6263abstral 100 ug cpr sublingual,ABSTRAL 100 µG COMPRIME SUBLINGUAL BOITE DE 10 COMPRIMES CONDITIONNEMENT UNITAIRE,1,1,1,206499,3400939104294,3400893284988,206499,3910429,3400939104294,9328498,3400893284988
4904abstral 200 ug cpr sublingual,ABSTRAL 200 µG COMPRIME SUBLINGUAL BOITE DE 10 COMPRIMES CONDITIONNEMENT UNITAIRE,1,1,1,206512,3400939104416,3400893285060,206512,3910441,3400939104416,9328506,3400893285060
6095abstral 300 ug cpr sublingual,ABSTRAL 300 µG COMPRIME SUBLINGUAL BOITE DE 10 COMPRIMES CONDITIONNEMENT UNITAIRE,1,1,1,206514,3400939104706,3400893285121,206514,3910464,3400939104645,9328512,3400893285121
6118seroplex 20 mgml sol buv en gouttes flac 15 ml,SEROPLEX 20 MG/ML SOLUTION BUVABLE BOITE 1 FLACON,1,1,1,208200,3400938204599,3400893387467,208200,3820459,3400938204599,9338746,3400893387467
10156coveram 5 mg5 mg cpr,COVERAM 5 MG / 5 MG BOITE DE 30 COMPRIMES,1,1,1,209958,3400938580259,3400893343692,209958,3858025,3400938580259,9334369,3400893343692
7647coveram 5 mg10 mg cpr,COVERAM 5 MG / 10 MG BOITE DE 30 COMPRIMES,1,1,1,209959,3400938581430,3400893343524,209959,3858143,3400938581430,9334352,3400893343524
10561coveram 10 mg10 mg cpr,COVERAM 10 MG / 10 MG BOITE DE 30 COMPRIMES,1,1,1,209961,3400938583960,3400893343234,209961,3858396,3400938583960,9334323,3400893343234
17452binocrit 20 000 iu05 ml sol inj srg  disp sécurité,BINOCRIT SANDOZ 20 000 UI INJECTABLE 0.5 ML AIGUILLE SECURISEE BOITE 1 SERINGUE,1,1,1,213702,3400949818396,3400893634318,213702,4981839,3400949818396,9363431,3400893634318
10568lacrifluid 013 collyre récipient unidose 04 g,"LACRIFLUID 0,13% COLLYRE BOITE DE 60 UNIDOSES DE 0,4G",0,1,1,220910,3400937688710,3400893062555,220910,3768902,3400937689021,9306255,3400893062555
15263victoza 6 mgml sol inj stylo 3 ml,VICTOZA 6MG/ML SOLUTION INJECTABLE BOITE DE 2 STYLOS PREREMPLIES JETABLES,1,1,1,223131,3400939632360,3400893452905,223131,3963236,3400939632360,9345290,3400893452905
19249citrafleet pdr pr sol buv sachet,CITRAFLEET POUDRE POUR SOLUTION BUVABLE BOITE DE 2 SACHETS,1,1,1,228178,3400938416459,3400893540473,228178,3841645,3400938416459,9354047,3400893540473
12043temeritduo 5 mg125 mg cpr,"TEMERIT DUO  5 MG /12,5  MG BOITE DE 30 COMPRIMES",1,1,1,235801,3400939397696,3400893478929,235801,3939769,3400939397696,9347892,3400893478929
5090titanoreine crème tube 40 g,TITANOREINE 40 GR CREME BOITE DE 1 TUBE,1,1,1,246994,3400934768491,3400892310664,246994,3476849,3400934768491,9231066,3400892310664
259scopoderm tts 1 mg72 h dispositif transdermique,SCOPODERM TTS 1 MG 72H VP BOITE DE 30 PATCHS,0,1,1,254831,3400932849437,3400891068238,254831,5758486,3400957584863,9106823,3400891068238
0000124donepezil 5 mg mylan cpr,DONEPEZIL MYLAN  5 MG BOITE DE 28 COMPRIMES PELLICULES CONDITIONNEMENT UNITAIRE AVEC SEMAINIER,1,1,1,261135,3400938930566,3400893821503,261135,3893056,3400938930566,9382150,3400893821503
22298tasigna 150 mg gélule,TASIGNA 150 MG  BOITE DE 28 GELULES,1,1,1,265077,3400949815845,3400893810446,265077,4981584,3400949815845,9381044,3400893810446
4825montelukast 10 mg mylan cpr,MONTELUKAST MYLAN  10 MG BOITE DE 28 COMPRIMES PELLICULES CONDITIONNEMENT UNITAIRE,1,1,1,267381,3400949669233,3400893670965,267381,4966923,3400949669233,9367096,3400893670965
14723selincro 18 mg cpr,SELINCRO 18 MG BOITE DE 14 COMPRIMES PELLICULES,1,1,1,330346,3400927443480,3400894023265,330346,2744348,3400927443480,9402326,3400894023265
16577selexid 200 mg cpr,SELEXID 200 MG BOITE DE 20 COMPRIMES PELLICULES,0,1,1,334289,3400932441396,3400890833875,334289,3010493,3400930104934,9083387,3400890833875
15173toviaz 8 mg cpr à libération prolongée,TOVIAZ LP 8 MG BOITE DE 30 COMPRIMES,0,1,1,335613,3400826704897,3400893998199,335613,2670489,3400926704896,9399819,3400893998199
14091risperidone 05 mg eg cpr orodispersible,"RISPERIDONE EG 0,5 MG BOITE DE 28 COMPRIMES ORODISPERSIBLES CONDITIONNEMENT UNITAIRE",0,1,1,336775,3400849289340,3400893564776,336775,4928934,3400949289349,9356477,3400893564776
16835ropinirole 2 mg eg cpr,ROPINIROLE EG 2 MG BOITE DE 21 COMPRIMES PELLICULES,0,1,1,336786,3400841771492,3400893281338,336786,4177149,3400941771491,9328133,3400893281338
22853levetiracetam 100 mgml mylan pharma sol buv flac 300 ml,LEVETIRACETAM MYLAN 100 MG/ML SOLUTION BUVABLE 300 ML FLACON + SERINGUE DOSEUSE 10 ML,1,1,1,345988,3400926851897,3400894056614,345988,2685189,3400926851897,9405661,3400894056614
22421quetiapine lp 50 mg mylan pharma cpr à libération prolongée,QUETIAPINE MYLAN  LP  50 MG BOITE DE 30 COMPRIMES CONDITIONNEMENT UNITAIRE,0,1,1,356206,3400930010242,3400894082576,356206,3001026,3400930010266,9408257,3400894082576
16960entresto 49 mg51 mg cpr,ENTRESTO 49 MG / 51 MG BOITE DE 56 COMPRIMES,1,1,1,358130,3400930037911,3400894127963,358130,3003791,3400930037911,9412796,3400894127963
16766pregabaline 50 mg mylan gélule,PREGABALINE MYLAN  50 MG BOITE DE 84 GELULES CONDITIONNEMENT UNITAIRE,1,1,1,370953,3400930018149,3400894101369,370953,3001814,3400930018149,9410136,3400894101369
17506toujeo 300 uml sol inj stylo 15 ml,"TOUJEO SOLOSTAR 300 UI/ ML  SOLUTION INJECTABLE STYLOS PREREMPLIS 1,5 ML  BOITE DE 3",1,1,1,371245,3400930016671,3400894131755,371245,3001667,3400930016671,9413175,3400894131755
22821voriconazole 50 mg mylan cpr,VORICONAZOLE MYLAN PHARMA  50 MG  BOITE DE 28 COMPRIMES CONDITIONNEMENT UNITAIRE,0,1,1,379540,-,3400894191148,379540,2795417,3400927954177,9419114,3400894191148
19821voriconazole 200 mg mylan cpr,VORICONAZOLE MYLAN PHARMA 200 MG  BOITE DE 56 COMPRIMES CONDITIONNEMENT UNITAIRE,1,1,1,379541,3400927956010,3400894190837,379541,2795601,3400927956010,9419083,3400894190837
20134brintellix 5 mg cpr,BRINTELLIX   5 MG  BOITE DE 56 X1 UNIDOSE COMPRIMES PELLICULES CONDITIONNEMENT UNITAIRE,0,1,1,379939,3400958617416,3400894138150,379939,5508301,3400955083016,9413815,3400894138150
19511brintellix 10 mg cpr,BRINTELLIX 10 MG  BOITE DE 56 X1 UNIDOSE COMPRIMES PELLICULES CONDITIONNEMENT UNITAIRE,0,1,1,379940,3400958617584,3400894137849,379940,5508302,3400955083023,9413784,3400894137849
19483brintellix 15 mg cpr,BRINTELLIX 15 MG BOITE DE 56 X1 UNIDOSE COMPRIMES PELLICULES CONDITIONNEMENT UNITAIRE,0,1,1,379941,3400958617645,3400894137900,379941,5508303,3400955083030,9413790,3400894137900
15648simbrinza 10 mg2 mgml collyre flac 5 ml,SIMBRINZA 10MG/2ML COLLYRE 5ML BOITE DE 1 FLACON,1,1,1,384117,3400927929625,3400894098775,384117,2792962,3400927929625,9409877,3400894098775
24881metoject 125 mg025 ml sol inj stylo,"METOJECT  12,5 MG/0,25 ML SOLUTION INJECTABLE EN STYLO PREREMPLI BOITE DE 1",1,1,1,390265,3400930020296,3400894188247,390265,3002029,3400930020296,9418824,3400894188247
20867candesartan 4 mg sandoz cpr séc,CANDESARTAN SANDOZ  4 MG BOITE DE 90 COMPRIMES CONDITIONNEMENT UNITAIRE,1,1,1,390276,3400939687421,3400893461549,390276,3968742,3400939687421,9346154,3400893461549
19115moventig 25 mg cpr,MOVENTIG 25 MG BOITE DE 90 COMPRIMES PELLICULES CONDITIONNEMENT UNITAIRE,1,1,1,398247,3400955001911,3400894260547,398247,5500191,3400955001911,9426054,3400894260547
21546fiasp 100 uml sol inj cart 3 ml,FIASP 100 U/ML SOLUTION INJECTABLE CARTOUCHE 3ML BOITE DE 5,1,1,1,409705,3400930083185,3400894275626,409705,3008318,3400930083185,9427562,3400894275626
13780candesartan hct 16 mg125 mg sandoz cpr,CANDESARTAN HYDROCHLOROTHIAZIDE SANDOZ 16 MG/12.5 MG BOITE DE 90 COMPRIMES CONDITIONNEMENT UNITAIRE,1,1,1,416317,3400949208494,3400893557044,416317,4920909,3400949209095,9355704,3400893557044
22309perindopril tertbutylamine amlodipine 4 mg10 mg eg cpr,PERINDOPRIL / AMLODIPINE EG 4 MG / 10 MG BOITE DE 90 COMPRIMES,1,1,1,422012,3400930129524,3400894359234,422012,3012952,3400930129524,9435923,3400894359234
21623tresiba 200 uml sol inj stylo 3 ml,TRESIBA 200U/ML SOLUTION INJECTABLE EN STYLO PREREMPLI 3 ML BOITE DE 3,1,1,1,464355,3400926857981,3400894361763,464355,2685798,3400926857981,9436176,3400894361763
22577trelegy ellipta 92 ug55 ug22 ugdose pdr pr inhal récipient unidose 30 doses,TRELEGY ELLIPTA 92/55/22 MICROGRAMMES /DOSE POUDRE POUR INHALATION BOITE DE 1 INHALATEUR DE 30 DOSES,0,1,1,471474,3400830125183,3400894389859,471474,3012518,3400930125182,9438985,3400894389859
0000757novorapid 100 uml sol inj stylo 3 ml flexpen,NOVORAPID FLEXPEN 100 UI 3 ML BOITE DE 5 STYLOS,1,1,1,80168,3400935527400,3400892402437,80168,3552740,3400935527400,9240243,3400892402437
6806novorapid 100 uml sol inj flac 10 ml,NOVORAPID 100 UI 10 ML BOITE DE  1 FLACON,1,1,1,80547,3400935259097,3400892229959,80547,3525909,3400935259097,9222995,3400892229959
752novomix 30 100 uml susp inj stylo 3 ml flexpen,NOVOMIX 30 FLEXPEN 100 UI 3ML BOITE DE 5 STYLOS PRE REMPLIS,1,1,1,80548,3400935676641,3400892366555,80548,3567664,3400935676641,9236655,3400892366555
751levemir 100 uml sol inj stylo 3 ml flexpen,LEVEMIR FLEXPEN 3 ML SOLUTION INJECTABLE BOITE DE 5 STYLOS,1,1,1,120501,3400936511989,3400892712031,120501,3651198,3400936511989,9271203,3400892712031
753novomix 50 100 uml susp inj stylo 3 ml flexpen,NOVOMIX 50 FLEXPEN 100 UI 3ML BOITE DE 5 STYLOS PRE REMPLIS,1,1,1,151374,3400937024297,3400892961378,151374,3702429,3400937024297,9296137,3400892961378
17508xultophy 100 u36 mgml sol inj stylo 3 ml,"XULTOPHY  100 UI/ML+3,6MG/ML  3 ML SOLUTION INJECTABLE BOITE DE 5 STYLOS PREREMPLIS JETABLES",1,1,1,379330,3400930018514,3400894179252,379330,3001851,3400930018514,9417925,3400894179252
20378fiasp 100 uml sol inj stylo 3 ml,FIASP 100 U/ML SOLUTION INJECTABLE EN STYLO PREREMPLI DE 3 ML BOITE DE 5,1,1,1,409706,3400930083161,3400894275855,409706,3008316,3400930083161,9427585,3400894275855
3007mifegyne 200 mg cpr,MIFEGYNE 200 MG BOITE DE 3 COMPRIMES CONDITIONNEMENT UNITAIRE,1,1,1,39967,3400936513471,3400891387346,39967,3651347,3400936513471,9138734,3400891387346
0000087gutron 25 mg cpr,"GUTRON 2,5 MG BOITE DE 90 COMPRIMES",0,1,1,42929,3400934825484,3400891604030,42929,3482554,3400934825545,9160403,3400891604030
230eupressyl lp 60 mg gélule à libération prolongée,EUPRESSYL LP 60 MG FLACON DE 30 GELULES,0,1,1,80185,3400933047757,3400891298765,80185,3609322,3400936093225,9129876,3400891298765
24004ambroxol 30 mg eg labo conseil cpr séc,AMBROXOL EG 30 MG BOITE DE 30 COMPRIMES SECABLES,1,1,1,81251,3400934886867,3400892156248,81251,3488686,3400934886867,9215624,3400892156248
199fenofibrate 200 mg eg gélule,FENOFIBRATE EG 200 MG BOITE DE 30 GELULES,1,1,1,81284,3400935486264,3400892235004,81284,3548626,3400935486264,9223500,3400892235004
17379oxybutynine 5 mg eg cpr séc,OXYBUTYNINE EG  5 MG BOITE DE 60 COMPRIMES SECABLES CONDITIONNEMENT UNITAIRE,0,1,1,81291,3400834331139,3400892107271,81291,3433113,3400934331138,9210727,3400892107271
22353zopiclone 75 mg eg cpr séc,"ZOPICLONE EG 7,5 MG BOITE DE 14 COMPRIMES SECABLES PELLICULES CONDITIONNEMENT UNITAIRE",0,1,1,81323,3400835247491,3400892192376,81323,3524749,3400935247490,9219237,3400892192376
4921levocarnil 100 mgml sol buv flac 10 ml,LEVOCARNIL 100MG/ML SOLUTION BUVABLE BOITE DE 10 FLACONS,1,1,1,81376,3400936571143,3400891280494,81376,3657114,3400936571143,9128049,3400891280494
24058amoxac clav 1 g125 mg eg ad pdr pr susp buv sachet,AMOXICILLINE ACIDE CLAVULANIQUE EG 1 GR / 125 MG BOITE DE 12 SACHETS,0,1,1,87811,3400936708013,3400892744209,87811,3670818,3400936708181,9274420,3400892744209
12696gliclazide 80 mg eg cpr séc,GLICLAZIDE  EG   80 MG BOITE DE   60 COMPRIMES SECABLES,0,1,1,91235,3400935253293,3400892190716,91235,3525335,3400935253354,9219071,3400892190716
5758clastoban 800 mg cpr,CLASTOBAN  800 MG BOITE DE 60 COMPRIMES,1,1,1,106580,3400936206601,3400892582436,106580,3620660,3400936206601,9258243,3400892582436
17185lisinopril 5 mg eg cpr séc,LISINOPRIL EG 5 MG BOITE DE 28 COMPRIMES SECABLES CONDITIONNEMENT UNITAIRE,1,1,1,110441,3400936025158,3400892563275,110441,3602515,3400936025158,9256327,3400892563275
21371omeprazole 10 mg eg gélule gastrorésistante,OMEPRAZOLE EG 10 MG  BOITE DE 28 GELULES GASTRO RESISTANTES,1,1,1,129067,3400949765256,3400893704318,129067,4976525,3400949765256,9370431,3400893704318
20257lisinopril hct 20 mg125 mg eg cpr séc,"LISINOPRIL / HYDROCHLOROTHIAZIDE EG 20 MG / 12,5 MG BOITE DE 28 COMPRIMES SECABLES CONDITIONNEMENT UNITAIRE",1,1,1,134065,3400936890251,3400892774473,134065,3689025,3400936890251,9277447,3400892774473
10277dexafree 1 mg1 ml collyre récipient unidose 04 ml,DEXAFREE  1MG/ML COLLYRE BOITE DE 30 UNIDOSES,1,1,1,159258,3400937477680,3400893008157,159258,3747768,3400937477680,9300815,3400893008157
193seropram 20 mg cpr séc,SEROPRAM  20 MG BOITE DE 28 COMPRIMES CONDITIONNEMENT UNITAIRE,1,1,1,173336,3400933833619,3400891764857,173336,3383361,3400933833619,9176485,3400891764857
6851vimpat 50 mg cpr,VIMPAT  50 MG BOITE DE 56 COMPRIMES PREDECOUPES CONDITIONNEMENT UNITAIRE,0,1,1,177099,3400938829570,3400893193877,177099,2247331,3400922473314,9319387,3400893193877
8421vimpat 100 mg cpr,VIMPAT 100 MG BOITE DE 56 COMPRIMES PREDECOUPES CONDITIONNEMENT UNITAIRE,0,1,1,177100,3400938829921,3400893193648,177100,2247348,3400922473482,9319364,3400893193648
7874vimpat 200 mg cpr,VIMPAT 200 MG BOITE DE 56 COMPRIMES PREDECOUPES CONDITIONNEMENT UNITAIRE,0,1,1,177101,3400938830460,3400893193709,177101,2247360,3400922473604,9319370,3400893193709
23771risperidone 1 mgml eg sol buv flac 60 ml,RISPERIDONE EG SOLUTION BUVABLE BOITE DE 1 FLACON DE 60 ML,1,1,1,177190,3400938281651,3400893119310,177190,3828165,3400938281651,9311931,3400893119310
687carvedilol 625 mg eg cpr séc,CARVEDILOL EG  6.25 MG BOITE DE 28 COMPRIMES PELLICULES,1,1,1,177208,3400938799613,3400893236215,177208,3879961,3400938799613,9323621,3400893236215
6156carvedilol 125 mg eg cpr séc,CARVEDILOL EG 12.5 MG BOITE DE 28 COMPRIMES  PELLICULES,1,1,1,177210,3400938800593,3400893236093,177210,3880059,3400938800593,9323609,3400893236093
23973azathioprine 50 mg eg cpr,AZATHIOPRINE EG 50 MG BOITE DE 100 COMPRIMES PELLICULES,1,1,1,177211,3400938549904,3400893183533,177211,3854990,3400938549904,9318353,3400893183533
5829azyter 15 mgg collyre récipient unidose 025 g,AZYTER 15 MG / G COLLYRE EN RECIPIENT UNIDOSE BOITE DE 6 UNIDOSES,1,1,1,177733,3400938203820,3400893142080,177733,3820382,3400938203820,9314208,3400893142080
16449vimpat 200 mg20 ml sol pr perf flac,VIMPAT   10 MG/ML SOLUTION POUR PERFUSION  20 ML BOITE DE 1 FLACON,1,1,1,210108,3400938830989,3400893283868,210108,3883098,3400938830989,9328386,3400893283868
22774prednisolone 20 mg eg cpr orodispersible,PREDNISOLONE EG 20 MG EG BOITE DE 20 COMPRIMES ORODISPERSIBLES,1,1,1,212141,3400939109619,3400893268780,212141,3910961,3400939109619,9326878,3400893268780
12056fenofibrate 145 mg eg cpr,FENOFIBRATE EG 145 MG BOITE DE 30 COMPRIMES,1,1,1,233687,3400939268156,3400893357712,233687,3926815,3400939268156,9335771,3400893357712
13882fosfomycine 3 g eg ad granulés pr sol buv sachet,FOSFOMYCINE EG 3 G GRANULES POUR SOLUTION BUVABLE BOITE DE 1 SACHET,1,1,1,233689,3400939423692,3400893357071,233689,3942369,3400939423692,9335707,3400893357071
24057amoxac clav 500 mg625 mg eg ad cpr,AMOXICILLINE ACIDE CLAVULANIQUE EG 500 MG / 62.5 MG  BOITE DE 24 COMPRIMES,1,1,1,252625,3400936683136,3400892737454,252625,3668313,3400936683136,9273745,3400892737454
14243lisinopril 20 mg eg cpr séc,LISINOPRIL EG 20 MG BOITE DE 84 COMPRIMES SECABLES CONDITIONNEMENT UNITAIRE,0,1,1,258513,3400837392205,3400892563107,258513,3739220,3400937392204,9256310,3400892563107
24178candesartan hct 16 mg125 mg eg labo cpr,CANDESARTAN HYDROCHLOROTHIAZIDE EG 16 MG / 12.5 MG BOITE DE 90 COMPRIMES,1,1,1,258515,3400922105529,3400893830437,258515,2210552,3400922105529,9383043,3400893830437
16557vimpat 10 mgml sirop flac 200 ml,VIMPAT   10 MG/ML SIROP 200 ML BOITE DE 1 FLACON,1,1,1,266086,3400922198149,3400893834398,266086,2219814,3400922198149,9383439,3400893834398
8707neupro 2 mg24 h dispositif transdermique,NEUPRO  2 MG/24H  DISPOSITIFS TRANSDERMIQUES BOITE DE 30,1,1,1,266090,3400937328500,3400893173428,266090,3772097,3400937720977,9317342,3400893173428
12552neupro 6 mg24 h dispositif transdermique,NEUPRO  6 MG/24H  DISPOSITIFS TRANSDERMIQUES BOITE DE 30,1,1,1,266092,3400937721349,3400893173718,266092,3772134,3400937721349,9317371,3400893173718
12559atorvastatine 20 mg eg labo cpr,ATORVASTATINE EG 20 MG BOITE DE 90 COMPRIMES PELLICULES CONDITIONNEMENT UNITAIRE,1,0,1,267347,3400930050019,3400893816301,267347,3005001,3400930050019,9425600,3400894256007
12638gymiso 200 ug cpr,GYMISO 200 µG BOITE DE 2 COMPRIMES,1,1,1,267896,3400936249943,3400892590301,267896,3624994,3400936249943,9259030,3400892590301
17588clorotekal 50 mg5 ml sol inj amp,CLOROTEKAL 10MG/ML  5ML SOLUTION INJECTABLE BOITE DE 10 AMPOULES,1,1,1,272458,3400922295862,3400893902387,272458,2229586,3400922295862,9390238,3400893902387
14372monoprost 50 ugml collyre récipient unidose 02 ml,"MONOPROST 0,005%  50 MCG/ML 0,2 ML COLLYRE BOITE DE 30 UNIDOSES",1,1,1,274628,3400926738266,3400893925850,274628,2673826,3400926738266,9392585,3400893925850
16489irbesartan hct 150 mg125 mg eg cpr,"IRBESARTAN HYDROCHLOROTHIAZIDE EG 150 MG /12,5 MG BOITE DE 90 COMPRIMES PELLICULES CONDITIONNEMENT UNITAIRE",1,1,1,336763,3400941967733,3400893933725,336763,4196773,3400941967733,9393372,3400893933725
18106irbesartan hct 300 mg125 mg eg cpr,"IRBESARTAN HYDROCHLOROTHIAZIDE EG 300 MG /12,5 MG BOITE DE 90 COMPRIMES PELLICULES CONDITIONNEMENT UNITAIRE",1,1,1,336764,3400941972294,3400893933893,336764,4197229,3400941972294,9393389,3400893933893
18241irbesartan hct 300 mg25 mg eg cpr,IRBESARTAN HYDROCHLOROTHIAZIDE EG 300 MG /25 MG BOITE DE 90 COMPRIMES PELLICULES CONDITIONNEMENT UNITAIRE,1,1,1,336765,3400941971464,3400893933954,336765,4197146,3400941971464,9393395,3400893933954
17923ropinirole 05 mg eg cpr,"ROPINIROLE EG 0,50 MG BOITE DE 21 COMPRIMES PELLICULES",0,1,1,336784,3400838895057,3400893281109,336784,3889505,3400938895056,9328110,3400893281109
22263ropinirole 1 mg eg cpr,ROPINIROLE EG 1 MG BOITE DE 21 COMPRIMES PELLICULES,1,1,1,336785,3400941772733,3400893281277,336785,4177273,3400941772733,9328127,3400893281277
22265ropinirole lp 2 mg eg cpr à libération prolongée,ROPINIROLE EG LP 2 MG BOITE DE 28 COMPRIMES PELLICULES,1,1,1,336788,3400922137285,3400893906460,336788,2213728,3400922137285,9390646,3400893906460
18689ropinirole lp 4 mg eg cpr à libération prolongée,ROPINIROLE EG LP 4 MG BOITE DE 28 COMPRIMES PELLICULES,1,1,1,336789,3400922357829,3400893906521,336789,2235782,3400922357829,9390652,3400893906521
9594keppra 500 mg cpr,KEPPRA  500 MG BOITE DE 100 COMPRIMES CONDITIONNEMENT UNITAIRE,1,1,1,356229,3400935601650,3400892259765,356229,5500534,3400955005346,9225976,3400892259765
21760aripiprazole 10 mg eg cpr,ARIPIPRAZOLE EG 10 MG BOITE DE 28 COMPRIMES ORODISPERSIBLES CONDITIONNEMENT UNITAIRE,1,1,1,377622,3400930031483,3400894219965,377622,3003174,3400930031742,9418379,3400894183792
21761aripiprazole 5 mg eg cpr,ARIPIPRAZOLE EG 5 MG BOITE DE 28 COMPRIMES CONDITIONNEMENT UNITAIRE,1,1,1,379860,3400930031421,3400894220107,379860,3003142,3400930031421,9422010,3400894220107
22834levodopa carbidopa entacapone 50 mg125 mg200 mg eg cpr,"LEVODOPA / CARBIDOPA / ENTACAPONE  EG 50 MG / 12,5 MG / 200 MG BOITE DE 100 COMPRIMES",1,1,1,382371,3400930003220,3400894127154,382371,3000322,3400930003220,9412715,3400894127154
